,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
688168.SH,安博通,787168,2019-08-20,2019-08-28,2019-09-06,科创板,56.88,48.52,48.87,48.74,47.04,"1,279.50","1,279.50",0.00,793.25,486.25,10.00,160.00,"3,500.00",7.28,7.28,6.70,"5,730.38",7.87,0.00,0.00,"5,730.38",7.87,"4,072.34",660.38,377.36,500.00,343,3688,"584,210.00",801.08,3299,3299,"3,297","523,110.00","2,975.45",0.14,717.30,"3,266,694","1,114,187.15",0.0436,"2,291.39","战略配售,网下询价,上网定价",余额包销,天风证券股份有限公司,大信会计师事务所(特殊普通合伙),中威正信(北京)资产评估有限公司,国浩律师事务所,2019-08-27,2019-08-28,2019-08-28,"6,337.4965",,1.1175,1.00,北京,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,上海
002961.SZ,瑞达期货,002961,2019-08-19,2019-08-27,2019-09-05,中小企业板,5.57,22.98,36.29,36.32,29.02,"4,500.00","4,500.00",0.00,450.00,"4,050.00",60.00,500.00,"13,500.00",2.51,2.51,2.18,"3,300.71",13.17,0.00,0.00,"3,300.71",13.17,"2,264.15",324.53,136.79,509.43,3206,5933,"2,962,160.00","6,582.58",5926,5926,"5,918","2,954,660.00","1,645.75",0.02,"6,565.91","13,866,530","10,640,468.60",0.0381,"2,627.28","网下询价,上网定价",余额包销,中信证券股份有限公司,致同会计师事务所(特殊普通合伙),福建中兴资产评估房地产土地估价有限责任公司,北京市中伦律师事务所,2019-08-26,2019-08-27,2019-08-27,"5,926.7410",,11.7096,1.00,福建省,资本市场服务,,金融--多元金融--资本市场--投资银行业与经纪业,A股,深圳
603093.SH,南华期货,732093,2019-08-13,2019-08-21,2019-08-30,主板,4.84,22.99,36.45,36.66,29.30,"7,000.00","7,000.00",0.00,700.00,"6,300.00",60.00,600.00,"21,000.00",3.39,3.39,2.82,"5,648.57",16.67,0.00,0.00,"5,648.57",16.67,"3,415.09","1,301.89",268.87,532.08,2587,5901,"3,533,250.00","5,047.50",5895,5895,"5,877","3,518,850.00","1,703.12",0.02,"5,026.93","12,522,485","11,905,405.90",0.0529,"1,889.75","网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京金诚同达律师事务所,2019-08-20,2019-08-21,2019-08-21,"5,762.2165",,18.7165,1.00,浙江省,资本市场服务,,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海
300789.SZ,唐源电气,300789,2019-08-12,2019-08-14,2019-08-28,创业板,35.58,21.35,48.33,48.36,46.65,"1,150.00","1,150.00",0.00,,"1,150.00",0.00,,"11,500.00",4.09,4.09,3.50,"5,911.17",14.45,0.00,0.00,"5,911.17",14.45,"4,349.26",729.01,392.88,426.41,,,,,,,,,,,,"12,048,833","8,874,875.70",0.0130,"7,717.28",上网定价,余额包销,国金证券股份有限公司,信永中和会计师事务所(特殊普通合伙),中联资产评估集团有限公司,北京市金杜律师事务所,2019-08-13,,,"31,576.8077",,3.0342,1.00,四川省,软件和信息技术服务业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳
603755.SH,日辰股份,732755,2019-08-07,2019-08-15,2019-08-28,主板,15.70,22.98,38.11,38.34,37.15,"2,466.00","2,466.00",0.00,246.60,"2,219.40",50.83,500.00,"9,000.00",3.87,3.87,3.43,"4,450.14",11.49,0.00,0.00,"4,450.14",11.49,"3,397.30",288.68,216.98,518.87,2786,6236,"3,060,720.00","12,411.68",6204,6204,"6,169","3,027,220.00","4,752.74",0.01,"12,275.83","12,100,519","7,106,715.90",0.0312,"3,202.09","网下询价,上网定价",余额包销,广发证券股份有限公司,中兴华会计师事务所(特殊普通合伙),万隆(上海)资产评估有限公司,北京德和衡律师事务所,2019-08-14,2019-08-15,2019-08-15,"11,157.5440",,7.2089,1.00,山东省,食品制造业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,上海
603992.SH,松霖科技,732992,2019-08-06,2019-08-14,2019-08-26,主板,13.54,22.99,27.19,27.25,25.41,"4,100.00","4,100.00",0.00,410.00,"3,690.00",60.00,"1,000.00","12,000.00",5.55,5.55,4.91,"6,425.53",11.57,0.00,0.00,"6,425.53",11.57,"4,713.45","1,080.00",94.34,415.09,2807,6199,"5,869,650.00","14,316.22",6195,6195,"6,164","5,835,390.00","7,901.12",0.01,"14,232.66","12,720,243","8,896,830.80",0.0415,"2,411.07","网下询价,上网定价",余额包销,广发证券股份有限公司,天健会计师事务所(特殊普通合伙),厦门市大学资产评估土地房地产估价有限责任公司,北京市大成律师事务所,2019-08-13,2019-08-14,2019-08-14,"12,046.3089",,11.8559,1.00,福建省,橡胶和塑料制品业,,工业--资本货物--建筑产品Ⅲ--建筑产品,A股,上海
003816.SZ,中国广核,003816,2019-07-31,2019-08-12,2019-08-26,中小企业板,2.49,14.60,18.50,18.52,17.60,"504,986.11","504,986.11",0.00,"320,734.36","184,251.75",42.97,"2,300.00","757,000.00",125.74,125.74,123.90,"18,437.85",1.47,0.00,0.00,"18,437.85",1.47,"15,421.13",809.43,"1,133.40",344.34,2665,3881,"8,669,850.00",127.05,1085,1085,"1,059","2,389,330.00",594.94,2.86,35.01,"13,224,167","30,585,335.75",0.6024,166.00,"战略配售,网下询价,上网定价",余额包销,"中国国际金融股份有限公司,国开证券股份有限公司,中信建投证券股份有限公司,民生证券股份有限公司",德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2019-08-09,2019-08-12,2019-08-12,"7,615.7486",,"1,206.8102",1.00,广东省,电力、热力生产和供应业,,公用事业--公用事业Ⅱ--独立电力生产商与能源贸易商Ⅲ--独立电力生产商与能源贸易商,A股,深圳
300787.SZ,海能实业,300787,2019-07-29,2019-08-06,2019-08-15,创业板,27.33,22.99,32.70,32.62,31.75,"2,122.00","2,122.00",0.00,212.20,"1,909.80",50.00,300.00,"8,000.00",5.80,5.80,5.02,"7,758.02",13.38,0.00,0.00,"7,758.02",13.38,"5,300.00","1,021.92",871.00,530.00,3247,5934,"1,743,100.00","8,214.42",5924,5924,"5,914","1,737,100.00","4,747.49",0.01,"8,186.15","11,206,723","6,540,857.60",0.0292,"3,424.89","网下询价,上网定价",余额包销,中信证券股份有限公司,瑞华会计师事务所(特殊普通合伙),开元资产评估有限公司,北京市君合律师事务所,2019-08-05,2019-08-06,2019-08-06,"17,876.1638",,5.6793,1.00,江西省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
603115.SH,海星股份,732115,2019-07-23,2019-07-31,2019-08-09,主板,10.18,15.44,32.24,32.03,31.15,"5,200.00","5,200.00",0.00,520.00,"4,680.00",50.00,500.00,"20,000.00",5.29,5.29,4.70,"5,984.00",11.30,0.00,0.00,"5,984.00",11.30,"4,631.90",530.00,218.00,508.90,2818,6306,"3,131,010.00","6,021.17",6266,6266,"6,221","3,089,280.00","3,144.89",0.02,"5,940.92","12,400,261","11,707,782.90",0.0400,"2,501.66","网下询价,上网定价",余额包销,安信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2019-07-30,2019-07-31,2019-07-31,"11,918.5230",,14.6332,1.00,江苏省,计算机、通信和其他电子设备制造业,,材料--材料Ⅱ--金属、非金属与采矿--铝,A股,上海
688321.SH,微芯生物,787321,2019-07-22,2019-07-31,2019-08-12,科创板,20.43,467.51,30.79,30.75,30.46,"5,000.00","5,000.00",0.00,"3,720.00","1,280.00",10.00,680.00,"8,500.00",10.22,10.22,9.45,"7,631.18",7.47,0.00,0.00,"7,631.18",7.47,"6,129.00",420.00,410.00,672.18,289,2991,"1,941,860.00",643.00,2466,2466,"2,466","1,602,340.00","3,273.58",0.19,530.58,"3,194,480","2,512,814.40",0.0509,"1,963.14","战略配售,网下询价,上网定价",余额包销,安信证券股份有限公司,毕马威华振会计师事务所(特殊普通合伙),北京天圆开资产评估有限公司,上海市通力律师事务所,2019-07-30,2019-07-31,2019-07-31,"5,133.6798",,1.5458,1.00,广东省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,上海
