,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
002613.SZ,北玻股份,002613,2011-08-15,2011-08-23,2011-08-30,中小企业板,13.50,44.60,,,,"6,700.00","6,700.00",0.00,"1,340.00","5,360.00",0.00,"1,340.00","53,000.00",5.97,9.05,8.21,"8,305.27",9.18,0.00,0.00,"8,305.27",9.18,"7,245.00",320.00,300.00,352.00,79,170,,,60,60,60,"48,742.50",65.80,2.75,36.38,"713,464","1,570,305.70",0.3413,293.00,"网下询价,上网定价",余额包销,第一创业证券有限责任公司,大华会计师事务所(特殊普通合伙),,北京市通商律师事务所,2011-08-22,2011-08-23,2011-08-23,"2,119.9127",65.8024,0.0000,1.00,河南省,专用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
300260.SZ,新莱应材,300260,2011-08-12,2011-08-23,2011-09-06,创业板,27.00,46.63,,,,"1,670.00","1,670.00",,330.00,"1,340.00",0.00,330.00,"13,000.00",3.13,4.51,4.06,"4,443.32",9.85,0.00,0.00,"4,443.32",9.85,"3,516.30",391.00,172.00,360.53,65,143,,,93,93,93,"21,252.00",57.38,1.55,64.40,"415,741","400,111.85",0.3349,299.00,"网下询价,上网定价",余额包销,长江证券承销保荐有限公司,致同会计师事务所(特殊普通合伙),北京中证资产评估有限公司,北京国枫律师事务所,2011-08-22,2011-08-23,2011-08-23,"1,080.3020",57.3804,0.0000,1.00,江苏省,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
002612.SZ,朗姿股份,002612,2011-08-11,2011-08-19,2011-08-30,中小企业板,35.00,57.38,,,,"5,000.00","5,000.00",,"1,000.00","4,000.00",0.00,"1,000.00","40,000.00",8.51,17.50,16.58,"9,244.10",5.28,0.00,0.00,"9,244.10",5.28,"8,306.50",275.50,236.90,319.00,77,189,,,62,62,62,"35,125.00",122.94,2.85,35.13,"189,831","278,519.85",1.4362,70.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,致同会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2011-08-18,2011-08-19,2011-08-19,974.8195,122.9375,0.0000,1.00,北京,纺织服装、服饰业,,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,A股,深圳
002611.SZ,东方精工,002611,2011-08-05,2011-08-17,2011-08-30,中小企业板,15.50,50.00,,,,"3,400.00","3,400.00",,680.00,"2,720.00",0.00,680.00,"27,000.00",4.25,5.27,4.92,"3,499.94",6.64,0.00,0.00,"3,499.94",6.64,"2,558.00",277.31,266.00,337.60,66,137,,,34,34,34,"17,680.00",27.40,3.85,26.00,"606,863","868,252.75",0.3133,319.00,"网下询价,上网定价",余额包销,中信建投证券有限责任公司,天健会计师事务所(特殊普通合伙),广东联信资产评估土地房地产估价有限公司,北京市邦盛律师事务所,2011-08-16,2011-08-17,2011-08-17,"1,345.7918",27.4040,0.0000,1.00,广东省,电气机械及器材制造业,,工业--资本货物--机械--工业机械,A股,深圳
300259.SZ,新天科技,300259,2011-08-05,2011-08-18,2011-08-31,创业板,21.90,50.93,,,,"1,900.00","1,900.00",,380.00,"1,520.00",0.00,380.00,"15,000.00",2.00,4.16,3.87,"2,878.16",6.92,0.00,0.00,"2,878.16",6.92,"2,388.55",154.00,90.00,232.00,39,60,,,19,19,19,"5,700.00",12.48,6.67,15.00,"347,471","350,045.45",0.4342,230.00,"网下询价,上网定价",余额包销,海通证券股份有限公司,中勤万信会计师事务所(特殊普通合伙),中联资产评估集团有限公司,北京市君合律师事务所,2011-08-17,2011-08-18,2011-08-18,766.5995,12.4830,0.0000,1.00,河南省,仪器仪表制造业,,工业--资本货物--机械--工业机械,A股,深圳
300258.SZ,精锻科技,300258,2011-08-05,2011-08-17,2011-08-26,创业板,25.00,37.31,,,,"2,500.00","2,500.00",,500.00,"2,000.00",0.00,500.00,"20,000.00",6.56,6.25,5.88,"3,706.24",5.93,0.00,0.00,"3,706.24",5.93,"3,125.00",154.29,96.00,292.40,56,116,,,34,34,34,"12,300.00",30.75,4.07,24.60,"396,388","507,089.35",0.3944,254.00,"网下询价,上网定价",余额包销,光大证券股份有限公司,瑞华会计师事务所(特殊普通合伙),北京国友大正资产评估有限公司,上海市锦天城律师事务所,2011-08-16,2011-08-17,2011-08-17,"1,267.7234",30.7500,0.0000,1.00,江苏省,汽车制造业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
300257.SZ,开山股份,300257,2011-07-29,2011-08-09,2011-08-19,创业板,63.00,46.99,,,,"3,600.00","3,600.00",,720.00,"2,880.00",0.00,720.00,"28,000.00",6.79,22.68,21.43,"12,524.15",5.52,0.00,0.00,"12,524.15",5.52,"11,233.00",904.00,82.50,295.50,60,134,,,75,75,75,"15,210.00",95.82,4.73,21.13,"48,841","49,116.50",5.8636,17.00,"网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,国浩律师事务所,2011-08-08,2011-08-09,2011-08-09,309.4340,95.8230,0.0000,1.00,浙江省,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳
300255.SZ,常山药业,300255,2011-07-29,2011-08-08,2011-08-19,创业板,28.00,51.80,,,,"2,700.00","2,700.00",,540.00,"2,160.00",0.00,540.00,"21,000.00",5.26,7.56,6.97,"5,873.89",7.77,0.00,0.00,"5,873.89",7.77,"5,086.00",210.50,202.00,276.00,45,94,,,60,60,60,"13,320.00",37.30,4.05,24.67,"115,119","146,423.05",1.4752,68.00,"网下询价,上网定价",余额包销,兴业证券股份有限公司,中喜会计师事务所(特殊普通合伙),北京京都中新资产评估有限公司,北京市竞天公诚律师事务所,2011-08-05,2011-08-08,2011-08-08,409.9845,37.2960,0.0000,1.00,河北省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
300256.SZ,星星科技,300256,2011-07-29,2011-08-08,2011-08-19,创业板,21.00,39.62,,,,"2,500.00","2,500.00",,500.00,"2,000.00",0.00,500.00,"20,000.00",5.88,5.25,4.81,"4,362.60",8.31,0.00,0.00,"4,362.60",8.31,"3,360.00",156.00,275.00,420.50,57,103,,,65,65,65,"20,500.00",43.05,2.44,41.00,"156,789","192,454.95",1.0392,96.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,大信会计师事务所(特殊普通合伙),湖北万信资产评估有限公司,北京市万商天勤律师事务所,2011-08-05,2011-08-08,2011-08-08,404.1554,43.0500,0.0000,1.00,浙江省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
300254.SZ,仟源医药,300254,2011-07-29,2011-08-08,2011-08-19,创业板,13.00,43.33,,,,"3,380.00","3,380.00",,670.00,"2,710.00",0.00,670.00,"27,000.00",2.13,4.39,3.96,"4,315.77",9.82,0.00,0.00,"4,315.77",9.82,"3,547.00",238.00,150.00,351.69,46,91,,,18,18,18,"10,720.00",13.94,6.25,16.00,"258,671","391,510.35",0.6922,144.00,"网下询价,上网定价",余额包销,中原证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,国浩律师事务所,2011-08-05,2011-08-08,2011-08-08,508.9635,13.9360,0.0000,1.00,山西省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,深圳
601886.SH,江河集团,780886,2011-07-28,2011-08-09,2011-08-18,主板,20.00,37.04,,,,"11,000.00","11,000.00",,"2,200.00","8,800.00",0.00,"2,200.00","88,000.00",11.98,22.00,20.87,"11,254.51",5.12,0.00,0.00,"11,254.51",5.12,"10,000.00",574.00,150.00,14.66,90,220,,,171,171,130,"85,150.00",170.30,2.58,38.70,"242,365","530,335.40",1.6593,60.27,"网下询价,上网定价",余额包销,平安证券有限责任公司,容诚会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京市天元律师事务所,2011-08-08,2011-08-08,2011-08-09,"1,060.6708",217.4238,0.0000,1.00,北京,建筑装饰和其他建筑业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,上海
601789.SH,宁波建工,780789,2011-07-27,2011-08-05,2011-08-16,主板,6.39,31.95,,,,"10,000.00","10,000.00",,"2,000.00","8,000.00",0.00,"2,000.00","80,000.00",4.24,6.39,5.87,"5,164.65",8.08,0.00,0.00,"5,164.65",8.08,"4,006.20",447.30,203.00,6.89,55,103,,,60,60,55,"76,640.00",48.97,2.61,38.32,"328,178","1,020,541.70",0.7839,127.57,"网下询价,上网定价",余额包销,中国中投证券有限责任公司,大信会计师事务所(特殊普通合伙),中京民信(北京)资产评估有限公司,国浩律师事务所,2011-08-04,2011-08-04,2011-08-05,652.1261,50.9360,0.0000,1.00,浙江省,土木工程建筑业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,上海
300253.SZ,卫宁健康,300253,2011-07-27,2011-08-05,2011-08-18,创业板,27.50,43.65,,,,"1,350.00","1,350.00",,270.00,"1,080.00",0.00,270.00,"10,000.00",1.38,3.71,3.39,"3,227.02",8.69,0.00,0.00,"3,227.02",8.69,"2,555.63",131.00,170.50,348.37,46,84,,,17,17,17,"2,902.50",7.98,9.30,10.75,"250,752","187,186.45",0.5770,173.00,"网下询价,上网定价",余额包销,招商证券股份有限公司,中磊会计师事务所有限责任公司,中铭国际资产评估(北京)有限责任公司,上海市广发律师事务所,2011-08-04,2011-08-05,2011-08-05,514.7627,7.9819,0.0000,1.00,上海,软件和信息技术服务业,,信息技术--软件与服务--软件--应用软件,A股,深圳
002610.SZ,爱康科技,002610,2011-07-26,2011-08-03,2011-08-15,中小企业板,16.00,31.37,,,,"5,000.00","5,000.00",,"1,000.00","4,000.00",0.00,"1,000.00","40,000.00",4.73,8.00,7.59,"4,134.93",5.17,0.00,0.00,"4,134.93",5.17,"3,500.00",64.00,97.50,427.50,47,77,,,29,29,29,"14,500.00",23.20,6.90,14.50,"314,387","443,954.65",0.9010,111.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,安永华明会计师事务所(特殊普通合伙),江苏银信资产评估房地产估价有限公司,北京市中伦律师事务所,2011-08-02,2011-08-03,2011-08-03,710.3274,23.2000,0.0000,1.00,江苏省,电气机械及器材制造业,,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,深圳
002609.SZ,捷顺科技,002609,2011-07-25,2011-08-03,2011-08-15,中小企业板,14.50,35.37,,,,"3,000.00","3,000.00",,600.00,"2,400.00",0.00,600.00,"24,000.00",1.78,4.35,3.91,"4,409.57",10.14,0.00,0.00,"4,409.57",10.14,"3,637.10",165.10,120.30,385.00,53,88,,,9,9,8,"4,200.00",6.09,14.29,7.00,"314,714","397,241.15",0.6042,166.00,"网下询价,上网定价",余额包销,招商证券股份有限公司,致同会计师事务所(特殊普通合伙),深圳市鹏信资产评估土地房地产估价有限公司,北京金诚同达律师事务所,2011-08-02,2011-08-03,2011-08-03,575.9997,6.0900,0.0000,1.00,广东省,软件和信息技术服务业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳
601636.SH,旗滨集团,780636,2011-07-25,2011-08-04,2011-08-12,主板,9.00,18.75,,,,"16,800.00","16,800.00",,"3,360.00","13,440.00",0.00,"3,360.00","134,000.00",13.70,15.12,14.61,"5,094.53",3.37,0.00,0.00,"5,094.53",3.37,"4,233.60",232.00,187.00,387.00,61,118,,,63,63,56,"79,360.00",71.42,4.23,23.62,"423,680","1,622,221.50",0.8285,120.70,"网下询价,上网定价",余额包销,中国中投证券有限责任公司,中审国际会计师事务所有限公司,福建中兴资产评估房地产土地估价有限责任公司,上海市通力律师事务所,2011-08-03,2011-08-03,2011-08-04,"1,459.9994",77.2247,0.0000,1.00,湖南省,非金属矿物制品业,,材料--材料Ⅱ--建材Ⅲ--建材,A股,上海
002608.SZ,江苏国信,002608,2011-07-25,2011-08-02,2011-08-10,中小企业板,22.11,15.68,,,,"3,700.00","3,700.00",,740.00,"2,960.00",0.00,740.00,"29,000.00",13.11,8.18,7.85,"3,328.88",4.07,0.00,0.00,"3,328.88",4.07,"2,817.82",86.00,42.00,330.00,34,52,,,18,18,18,"7,400.00",16.36,10.00,10.00,"367,318","417,450.05",0.7091,141.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,瑞华会计师事务所(特殊普通合伙),立信会计师事务所(特殊普通合伙),江苏金鼎英杰律师事务所,2011-08-01,2011-08-02,2011-08-02,922.9821,16.3614,0.0000,1.00,江苏省,电力、热力生产和供应业,,金融--多元金融--资本市场--资产管理与托管银行,A股,深圳
300252.SZ,金信诺,300252,2011-07-22,2011-08-01,2011-08-18,创业板,16.20,32.73,,,,"2,700.00","2,700.00",,540.00,"2,160.00",0.00,540.00,"21,500.00",2.84,4.37,4.04,"3,324.60",7.60,0.00,0.00,"3,324.60",7.60,"2,600.00",220.00,169.00,305.00,42,64,,,29,29,29,"10,935.00",17.71,4.94,20.25,"239,050","314,802.75",0.6861,146.00,"网下询价,上网定价",余额包销,中航证券有限公司,瑞华会计师事务所(特殊普通合伙),上海东洲资产评估有限公司,北京市金杜律师事务所,2011-07-29,2011-08-01,2011-08-01,509.9805,17.7147,0.0000,1.00,广东省,电气机械及器材制造业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,深圳
601222.SH,林洋能源,780222,2011-07-21,2011-08-01,2011-08-08,主板,18.00,31.82,,,,"7,500.00","7,500.00",,"1,500.00","6,000.00",0.00,"1,500.00","60,000.00",8.06,13.50,12.92,"5,830.09",4.32,0.00,0.00,"5,830.09",4.32,"5,180.00",130.00,69.00,350.18,46,71,,,49,47,32,"16,320.00",29.38,9.19,10.88,"120,857","267,844.90",2.2401,44.64,"网下询价,上网定价",余额包销,广发证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,国浩律师事务所,2011-07-29,2011-07-29,2011-08-01,482.1208,42.8562,0.0000,1.00,江苏省,仪器仪表制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海
002607.SZ,中公教育,002607,2011-07-21,2011-07-29,2011-08-10,中小企业板,22.35,26.61,,,,"2,200.00","2,200.00",,438.00,"1,762.00",0.00,438.00,"17,000.00",1.49,4.92,4.46,"4,615.33",9.39,0.00,0.00,"4,615.33",9.39,"3,778.20",337.00,110.00,,40,68,,,27,27,27,"6,643.00",14.85,6.59,15.17,"260,574","260,928.95",0.6753,148.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,容诚会计师事务所(特殊普通合伙),"北京国融兴华资产评估有限责任公司,安徽南方会计师事务所有限公司",安徽天禾律师事务所,2011-07-28,2011-07-29,2011-07-29,583.1762,14.8471,0.0000,1.00,安徽省,教育,,可选消费--消费者服务Ⅱ--综合消费者服务Ⅲ--教育服务,A股,深圳
601901.SH,方正证券,780901,2011-07-21,2011-08-01,2011-08-10,主板,3.90,19.50,,,,"150,000.00","150,000.00",,"67,500.00","82,500.00",5.00,"75,000.00","750,000.00",,58.50,56.48,"20,182.47",3.45,0.00,0.00,"20,182.47",3.45,"19,100.00",184.00,60.00,,113,223,,,94,94,69,"367,790.00",143.44,18.35,5.45,"449,486","3,681,772.50",2.2408,44.63,"网下询价,上网定价",余额包销,"平安证券有限责任公司,中信证券股份有限公司",天健会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京金诚同达律师事务所,2011-07-29,2011-07-29,2011-08-01,"1,435.8913",247.8036,0.0000,1.00,湖南省,资本市场服务,,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海
002606.SZ,大连电瓷,002606,2011-07-18,2011-07-28,2011-08-05,中小企业板,17.00,38.64,,,,"2,500.00","2,500.00",,500.00,"2,000.00",0.00,500.00,"20,000.00",4.70,4.25,3.94,"3,136.20",7.38,0.00,0.00,"3,136.20",7.38,"2,560.00",105.00,155.00,303.00,62,104,,,24,24,24,"8,000.00",13.60,6.25,16.00,"483,837","577,956.45",0.3460,289.00,"网下询价,上网定价",余额包销,渤海证券股份有限公司,中准会计师事务所(特殊普通合伙),辽宁元正资产评估有限责任公司,北京国枫律师事务所,2011-07-27,2011-07-28,2011-07-28,982.5260,13.6000,0.0000,1.00,辽宁省,电气机械及器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,深圳
002605.SZ,姚记科技,002605,2011-07-18,2011-07-26,2011-08-05,中小企业板,21.00,31.34,,,,"2,350.00","2,350.00",,470.00,"1,880.00",0.00,94.00,"18,000.00",3.63,4.94,4.40,"5,386.15",10.91,0.00,0.00,"5,386.15",10.91,"4,510.00",302.80,170.00,394.00,51,96,,,17,17,17,"1,598.00",3.36,29.41,3.40,"277,299","285,355.90",0.6588,152.00,"网下询价,上网定价",余额包销,海通证券股份有限公司,天健会计师事务所(特殊普通合伙),万隆(上海)资产评估有限公司,上海市通力律师事务所,2011-07-25,2011-07-26,2011-07-26,599.2474,3.3558,0.0000,1.00,上海,文教、工美、体育和娱乐用品制造业,,可选消费--耐用消费品与服装--休闲设备与用品--休闲用品,A股,深圳
300250.SZ,初灵信息,300250,2011-07-15,2011-07-25,2011-08-03,创业板,25.00,32.89,,,,"1,000.00","1,000.00",,200.00,800.00,0.00,200.00,"8,000.00",1.05,2.50,2.21,"2,949.70",11.80,0.00,0.00,"2,949.70",11.80,"2,250.00",244.00,147.00,305.00,53,95,,,55,55,55,"8,750.00",21.88,2.29,43.75,"402,190","266,282.60",0.3004,333.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,中汇会计师事务所(特殊普通合伙),天源资产评估有限公司,北京观韬中茂律师事务所,2011-07-22,2011-07-25,2011-07-25,665.7065,21.8750,0.0000,1.00,浙江省,软件和信息技术服务业,,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,A股,深圳
300251.SZ,光线传媒,300251,2011-07-15,2011-07-26,2011-08-03,创业板,52.50,61.05,,,,"2,740.00","2,740.00",,540.00,"2,200.00",0.00,540.00,"22,000.00",3.78,14.39,13.81,"5,778.02",4.02,0.00,0.00,"5,778.02",4.02,"5,065.50",194.34,170.00,261.00,78,171,,,67,67,67,"16,020.00",84.11,3.37,29.67,"136,123","154,444.85",1.4245,70.00,"网下询价,上网定价",余额包销,中信建投证券有限责任公司,北京兴华会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,北京国枫律师事务所,2011-07-25,2011-07-26,2011-07-26,810.8355,84.1050,0.0000,1.00,北京,广播、电视、电影和影视录音制作业,,可选消费--媒体Ⅱ--媒体Ⅲ--电影与娱乐,A股,深圳
300249.SZ,依米康,300249,2011-07-15,2011-07-25,2011-08-03,创业板,17.50,44.87,,,,"1,960.00","1,960.00",,392.00,"1,568.00",0.00,392.00,"15,500.00",1.40,3.43,2.97,"4,575.12",13.34,0.00,0.00,"4,575.12",13.34,"4,150.00",103.00,99.00,219.00,62,111,,,17,17,17,"4,802.00",8.40,8.16,12.25,"363,549","402,941.65",0.3891,257.00,"网下询价,上网定价",余额包销,海际大和证券有限责任公司,信永中和会计师事务所(特殊普通合伙),湖北万信资产评估有限公司,北京市康达律师事务所,2011-07-22,2011-07-25,2011-07-25,705.1479,8.4035,0.0000,1.00,四川省,软件和信息技术服务业,,工业--商业和专业服务--商业服务与用品--环境与设施服务,A股,深圳
002603.SZ,以岭药业,002603,2011-07-11,2011-07-19,2011-07-28,中小企业板,34.56,47.39,,,,"6,500.00","6,500.00",,"1,300.00","5,200.00",0.00,"1,300.00","50,000.00",16.90,22.46,21.56,"9,000.60",4.01,0.00,0.00,"9,000.60",4.01,"7,900.00",230.00,222.50,498.60,79,189,,,22,22,22,"9,230.00",31.90,14.08,7.10,"267,524","357,532.40",1.4544,69.00,"网下询价,上网定价",余额包销,中信证券股份有限公司,中勤万信会计师事务所(特殊普通合伙),河北新世纪红盾资产评估事务所,北京国枫律师事务所,2011-07-18,2011-07-19,2011-07-19,"1,235.6320",31.8989,0.0000,1.00,河北省,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--中药,A股,深圳
002604.SZ,*ST龙力,002604,2011-07-11,2011-07-20,2011-07-28,中小企业板,21.50,47.78,,,,"4,660.00","4,660.00",,900.00,"3,760.00",0.00,900.00,"37,000.00",3.46,10.02,9.27,"7,479.04",7.46,0.00,0.00,"7,479.04",7.46,"6,511.40",298.00,80.00,568.00,66,107,,,9,9,9,"3,150.00",6.77,28.57,3.50,"406,692","535,437.95",0.7022,142.00,"网下询价,上网定价",余额包销,华英证券有限责任公司,大华会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市中瑞律师事务所,2011-07-19,2011-07-20,2011-07-20,"1,151.1916",6.7725,0.0000,1.00,山东省,农副食品加工业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,深圳
300247.SZ,融捷健康,300247,2011-07-08,2011-07-18,2011-07-29,创业板,16.00,29.63,,,,"2,050.00","2,050.00",,408.00,"1,642.00",0.00,408.00,"16,000.00",1.70,3.28,2.96,"3,165.48",9.65,0.00,0.00,"3,165.48",9.65,"2,500.00",210.00,100.00,344.14,54,84,,,27,27,27,"8,160.00",13.06,5.00,20.00,"475,285","518,269.15",0.3168,316.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,容诚会计师事务所(特殊普通合伙),开元资产评估有限公司,安徽承义律师事务所,2011-07-15,2011-07-18,2011-07-18,829.2306,13.0560,0.0000,1.00,安徽省,电气机械及器材制造业,,可选消费--耐用消费品与服装--家庭耐用消费品--家用电器,A股,深圳
300248.SZ,新开普,300248,2011-07-08,2011-07-20,2011-07-29,创业板,30.00,40.60,,,,"1,120.00","1,120.00",,220.00,900.00,0.00,220.00,"9,000.00",1.60,3.36,2.99,"3,697.34",11.00,0.00,0.00,"3,697.34",11.00,"3,040.00",150.00,180.00,298.61,45,84,,,45,42,45,"5,940.00",17.82,3.70,27.00,"264,455","178,361.30",0.5046,198.00,"网下询价,上网定价",余额包销,南京证券有限责任公司,利安达会计师事务所(特殊普通合伙),深圳市长城会计师事务所有限公司,北京国枫律师事务所,2011-07-19,2011-07-20,2011-07-20,535.0839,17.8200,0.0000,1.00,河南省,软件和信息技术服务业,,信息技术--软件与服务--信息技术服务--信息科技咨询与其它服务,A股,深圳
002602.SZ,世纪华通,002602,2011-07-05,2011-07-13,2011-07-28,中小企业板,23.00,25.61,,,,"4,500.00","4,500.00",,900.00,"3,600.00",0.00,900.00,"36,000.00",5.74,10.35,9.92,"4,323.50",4.18,0.00,0.00,"4,323.50",4.18,"3,630.00",210.00,83.00,380.00,49,87,,,11,11,11,"4,000.00",9.20,22.50,4.44,"373,540","444,993.25",0.8090,124.00,"网下询价,上网定价",余额包销,东方证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,浙江天册律师事务所,2011-07-12,2011-07-13,2011-07-13,"1,023.4845",9.2000,0.0000,1.00,浙江省,汽车制造业,,信息技术--软件与服务--软件--家庭娱乐软件,A股,深圳
300246.SZ,宝莱特,300246,2011-07-01,2011-07-11,2011-07-19,创业板,25.00,31.25,,,,"1,050.00","1,050.00",,208.00,842.00,0.00,208.00,"8,000.00",1.22,2.63,2.31,"3,189.03",12.15,0.00,0.00,"3,189.03",12.15,"2,540.00",155.00,168.00,323.75,59,118,,,53,53,53,"7,072.00",17.68,2.94,34.00,"327,171","212,881.10",0.3955,253.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,大华会计师事务所(特殊普通合伙),广东中广信资产评估有限公司,上海市通力律师事务所,2011-07-08,2011-07-11,2011-07-11,532.2028,17.6800,0.0000,1.00,广东省,专用设备制造业,,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,A股,深圳
300245.SZ,天玑科技,300245,2011-07-01,2011-07-11,2011-07-19,创业板,20.00,34.13,,,,"1,700.00","1,700.00",,340.00,"1,360.00",0.00,340.00,"13,000.00",1.86,3.40,3.16,"2,398.10",7.05,0.00,0.00,"2,398.10",7.05,"1,700.00",201.00,77.00,348.00,54,105,,,58,58,58,"11,696.00",23.39,2.91,34.40,"357,837","324,677.25",0.4189,239.00,"网下询价,上网定价",余额包销,安信证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,上海市锦天城律师事务所,2011-07-08,2011-07-11,2011-07-11,649.3545,23.3920,0.0000,1.00,上海,软件和信息技术服务业,,信息技术--软件与服务--信息技术服务--数据处理与外包服务,A股,深圳
300244.SZ,迪安诊断,300244,2011-07-01,2011-07-11,2011-07-19,创业板,23.50,39.83,,,,"1,280.00","1,280.00",,256.00,"1,024.00",0.00,256.00,"10,000.00",2.07,3.01,2.70,"3,052.27",10.15,0.00,0.00,"3,052.27",10.15,"2,321.00",237.10,150.00,276.00,72,147,,,74,74,74,"11,456.00",26.92,2.23,44.75,"304,533","245,816.60",0.4166,240.00,"网下询价,上网定价",余额包销,平安证券有限责任公司,立信会计师事务所(特殊普通合伙),上海东洲资产评估有限公司,北京市中伦律师事务所,2011-07-08,2011-07-11,2011-07-11,577.6690,26.9216,0.0000,1.00,浙江省,卫生,,医疗保健--医疗保健设备与服务--医疗保健提供商与服务--保健护理服务,A股,深圳
002599.SZ,盛通股份,002599,2011-06-28,2011-07-06,2011-07-15,中小企业板,10.00,32.26,,,,"3,300.00","3,300.00",,660.00,"2,640.00",0.00,660.00,"26,000.00",2.46,3.30,3.03,"2,706.05",8.20,0.00,0.00,"2,706.05",8.20,"2,100.00",105.00,154.00,303.00,49,100,,,9,9,9,"4,620.00",4.62,14.29,7.00,"248,885","351,869.90",0.7503,133.00,"网下询价,上网定价",余额包销,招商证券股份有限公司,中准会计师事务所(特殊普通合伙),北京中天华资产评估有限责任公司,北京市大成律师事务所,2011-07-05,2011-07-06,2011-07-06,351.8699,4.6200,0.0000,1.00,北京,印刷和记录媒介复制业,,工业--商业和专业服务--商业服务与用品--商业印刷,A股,深圳
002600.SZ,领益智造,002600,2011-06-28,2011-07-06,2011-07-15,中小企业板,8.00,32.00,,,,"7,950.00","7,950.00",,"1,590.00","6,360.00",0.00,"1,590.00","63,000.00",4.14,6.36,6.00,"3,638.25",5.72,0.00,0.00,"3,638.25",5.72,"2,966.37",113.20,92.00,431.65,60,144,,,47,47,47,"45,050.00",36.04,3.53,28.33,"494,263","1,080,132.90",0.5888,170.00,"网下询价,上网定价",余额包销,国信证券股份有限公司,天职国际会计师事务所(特殊普通合伙),沃克森(北京)国际资产评估有限公司,广东任高扬律师事务所,2011-07-05,2011-07-06,2011-07-06,864.1063,36.0400,0.0000,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
